data_model,fit_model,kraken,waic,se,best
CB,ucb_lcb,0,-43615.07985440159,219.54891053984193,1
CB,ucb_lcb,1,-16755.811927187417,190.62154568281005,1
CB,ucb_b0,0,-47245.462857107625,206.9565390278386,0
CB,ucb_b0,1,-18437.012449130856,197.24793860870756,0
CB,ucb_lcb_n,0,-44621.8797768894,219.85015740562054,0
CB,ucb_lcb_n,1,-17414.96758863266,195.10344895625198,0
_b0,ucb_lcb,0,-50286.6495794058,197.48745176763074,1
_b0,ucb_lcb,1,-25180.177076930457,196.75572279432583,1
_b0,ucb_b0,0,-50330.225259709434,197.36713640831528,0
_b0,ucb_b0,1,-25267.27777369727,197.26672364844995,0
_b0,ucb_lcb_n,0,-50331.85636265183,197.34420057755688,0
_b0,ucb_lcb_n,1,-25187.470720552843,196.12787435879332,0
_cb_n,ucb_lcb,0,-42489.56779200516,223.57283055459624,0
_cb_n,ucb_lcb,1,-15016.151436369106,190.54969647001974,0
_cb_n,ucb_b0,0,-45475.697923492946,200.0269082516954,0
_cb_n,ucb_b0,1,-17908.317799559874,186.3261777625904,0
_cb_n,ucb_lcb_n,0,-41044.99119335131,224.8238327443314,1
_cb_n,ucb_lcb_n,1,-14289.714189015765,186.18269642806743,1
