model,tp,cond,se,logp,exceedance_probability
pos,0.0,0.0,15.198782932919721,-42.39616966674986,0.07403671324559627
random,0.0,0.0,20.77552473290995,-58.48340519854897,0.07403671301281455
ucb_b0,0.0,0.0,16.196445815795027,-28.96474745594789,0.07419692750175447
ucb_lcb,0.0,0.0,15.677712867890222,-29.202109499325005,0.07416278379481936
ucb_lcb_n,0.0,0.0,13.737909249517928,-26.086456702735067,0.7035668624450153
pos,1.0,0.0,13.703671092928078,-42.36949213483052,0.07412719759736171
random,1.0,0.0,20.43781869679888,-63.51267515358172,0.07412719632698817
ucb_b0,1.0,0.0,15.046074853536837,-28.773162158040133,0.07523987580830607
ucb_lcb,1.0,0.0,18.42038136888096,-29.93031927838831,0.07445484116261386
ucb_lcb_n,1.0,0.0,17.03618759332054,-27.75400933997076,0.7020508891047301
pos,0.0,1.0,16.162041088109973,-40.07393613248258,0.07404114838811035
random,0.0,1.0,21.728385628616348,-53.42770040872936,0.07404114192731563
ucb_b0,0.0,1.0,18.063337813988603,-27.087413117540898,0.7034927193294491
ucb_lcb,0.0,1.0,24.414092560658897,-29.230350412413042,0.07438018658896146
ucb_lcb_n,0.0,1.0,27.68419476759999,-33.73420511886668,0.07404480376616347
pos,1.0,1.0,14.757827755893887,-43.471399823054035,0.07408271802881215
random,1.0,1.0,19.389883373203244,-65.76714019259892,0.07408271799830345
ucb_b0,1.0,1.0,18.81793108994974,-26.623322073945964,0.07474385080259337
ucb_lcb,1.0,1.0,23.40872397742938,-27.736362737300453,0.0742935470600455
ucb_lcb_n,1.0,1.0,20.15013938432484,-25.128569580435183,0.7027971661102456
