data_model,fit_model,cond,tp,waic,se,best
cb_b0,ucb_b0,0,0,-2743.350313014934,79.20133239247141,0
cb_b0,ucb_b0,0,1,-2609.3138504638227,80.12784382932857,1
cb_b0,ucb_b0,1,0,-2435.89655572801,71.83094801533463,1
cb_b0,ucb_b0,1,1,-2462.715091978307,78.944674802923,1
cb_b0,ucb_lcb_n,0,0,-2742.4167114087004,78.92964073711612,1
cb_b0,ucb_lcb_n,0,1,-2610.8915359890025,80.13249714909402,0
cb_b0,ucb_lcb_n,1,0,-2443.9659403544156,71.54858388943218,0
cb_b0,ucb_lcb_n,1,1,-2465.071052735111,78.9646335763467,0
cb_b0,ucb_lcb,0,0,-2745.465700972383,79.2117950323639,0
cb_b0,ucb_lcb,0,1,-2611.2650694907265,80.15327829352279,0
cb_b0,ucb_lcb,1,0,-2442.467896015067,71.52696600885369,0
cb_b0,ucb_lcb,1,1,-2464.425798402022,78.89563145459586,0
cb_n,ucb_b0,0,0,-3216.6436920969645,76.15005571873145,0
cb_n,ucb_b0,0,1,-3239.031891289397,80.70652914358052,0
cb_n,ucb_b0,1,0,-3282.9295345079763,74.65900912518562,0
cb_n,ucb_b0,1,1,-3230.709918059682,83.34698210525015,0
cb_n,ucb_lcb_n,0,0,-2933.0959100151113,77.65987524555689,1
cb_n,ucb_lcb_n,0,1,-2959.6120363511427,84.84957953392389,1
cb_n,ucb_lcb_n,1,0,-3013.524790801269,82.4709931068847,1
cb_n,ucb_lcb_n,1,1,-2939.51003952704,82.74102352910751,1
cb_n,ucb_lcb,0,0,-3023.9751681239773,76.4821687579561,0
cb_n,ucb_lcb,0,1,-3177.634329644067,83.1109681413727,0
cb_n,ucb_lcb,1,0,-3106.751258160084,71.8654119942318,0
cb_n,ucb_lcb,1,1,-3178.142782894376,84.60705698462752,0
cb,ucb_b0,0,0,-2628.4758275813483,77.23903140235844,0
cb,ucb_b0,0,1,-2452.5589006073087,79.26143019865312,0
cb,ucb_b0,1,0,-2419.574027426314,67.113021086845,0
cb,ucb_b0,1,1,-2522.137074624474,82.16076888041869,0
cb,ucb_lcb_n,0,0,-2552.369257712751,77.35607744160033,0
cb,ucb_lcb_n,0,1,-2407.9136968508155,78.92038818918543,0
cb,ucb_lcb_n,1,0,-2305.1739708222535,67.49709992624925,0
cb,ucb_lcb_n,1,1,-2397.241598135516,81.25227957418109,0
cb,ucb_lcb,0,0,-2508.7606299068307,76.69737714944915,1
cb,ucb_lcb,0,1,-2323.2753878265753,77.28607121343663,1
cb,ucb_lcb,1,0,-2254.5697917067037,66.52978712961782,1
cb,ucb_lcb,1,1,-2339.122391187582,80.06316227541565,1
