,ID,cond,tp,ls,beta,tau
0,1,0,0,1.2190721035003662,0.4176294803619385,0.16546767950057983
1,1,0,1,1.3903682231903076,0.41656818985939026,0.10400941222906113
2,8,1,0,1.8441574573516846,-0.03492876887321472,0.05859210342168808
3,8,1,1,1.68193519115448,0.10333370417356491,0.05556816980242729
4,9,1,0,1.4344900846481323,-0.37057268619537354,0.13283145427703857
5,9,1,1,1.0991917848587036,0.11746503412723541,0.09178200364112854
6,10,1,0,1.8403593301773071,-0.04415547475218773,0.09118687361478806
7,10,1,1,1.3131293058395386,-0.14556759595870972,0.027264179661870003
8,13,1,0,1.5455594062805176,0.07135169953107834,0.137274369597435
9,13,1,1,1.2294461727142334,-0.13028380274772644,0.09446661174297333
10,14,1,0,1.3130766153335571,0.1928153783082962,0.10074371099472046
11,14,1,1,1.3107768297195435,-0.06433416903018951,0.11543101072311401
12,15,0,0,1.4641467332839966,0.6810716390609741,0.056137945502996445
13,15,0,1,1.5680614709854126,0.02262149378657341,0.07283353060483932
14,16,1,0,0.9815242886543274,-0.38974708318710327,0.1514648050069809
15,16,1,1,1.3071893453598022,0.025866063311696053,0.15178047120571136
16,18,1,0,1.5188052654266357,0.030587825924158096,0.07726500183343887
17,18,1,1,1.4090237617492676,0.09952010214328766,0.07224283367395401
18,19,0,0,1.2167515754699707,0.02563498541712761,0.13908565044403076
19,19,0,1,5.522317886352539,0.9776439070701599,0.24936503171920776
20,20,0,0,1.1147253513336182,0.11482317745685577,0.22225722670555115
21,20,0,1,1.9966988563537598,-0.15714769065380096,0.04563166946172714
22,22,0,0,1.3181297779083252,0.032480429857969284,0.1641191989183426
23,22,0,1,1.248713731765747,0.003929032478481531,0.09375113248825073
24,24,0,0,1.1311465501785278,-0.09378886967897415,0.11540411412715912
25,24,0,1,1.483568549156189,-0.43641743063926697,0.06558205187320709
26,26,1,0,1.343576192855835,0.4775068461894989,0.09547152370214462
27,26,1,1,1.7379961013793945,0.17114995419979095,0.062282245606184006
28,27,0,0,1.4700267314910889,0.038294434547424316,0.034865159541368484
29,27,0,1,1.9450132846832275,0.009411340579390526,0.02336650714278221
30,29,1,0,1.293931245803833,0.47193652391433716,0.07674794644117355
31,29,1,1,1.4185824394226074,0.13073499500751495,0.04217294231057167
32,30,0,0,1.1672279834747314,-0.09971857815980911,0.07559563219547272
33,30,0,1,1.6678626537322998,-0.08205599337816238,0.07053351402282715
34,32,0,0,1.0445715188980103,-0.041665032505989075,0.09466813504695892
35,32,0,1,1.1907432079315186,0.2177780717611313,0.11371343582868576
36,33,1,0,1.4328432083129883,0.03560750558972359,0.06297729909420013
37,33,1,1,1.4214427471160889,0.20274300873279572,0.048783764243125916
38,34,1,0,1.3847737312316895,-1.1019216775894165,0.19449740648269653
39,34,1,1,1.3193535804748535,-0.01484029833227396,0.017954986542463303
40,35,1,0,1.5999387502670288,0.3104344606399536,0.15894903242588043
