"","ID","tp","cond","nervous"
"1",1,"Pre",0,"5"
"2",1,"Pre",0,"2"
"3",1,"Pre",0,"0"
"4",1,"Post",0,"2"
"5",1,"Post",0,"1"
"6",1,"Post",0,"1"
"43",8,"Pre",1,"13"
"44",8,"Pre",1,"20"
"45",8,"Pre",1,"1"
"46",8,"Post",1,"3"
"47",8,"Post",1,"0"
"48",8,"Post",1,"0"
"49",9,"Pre",1,"20"
"50",9,"Pre",1,"21"
"51",9,"Pre",1,"27"
"52",9,"Post",1,"24"
"53",9,"Post",1,"31"
"54",9,"Post",1,"24"
"55",10,"Pre",1,"5"
"56",10,"Pre",1,"7"
"57",10,"Pre",1,"18"
"58",10,"Post",1,"0"
"59",10,"Post",1,"0"
"60",10,"Post",1,"0"
"73",13,"Pre",1,"18"
"74",13,"Pre",1,"8"
"75",13,"Pre",1,"0"
"76",13,"Post",1,"0"
"77",13,"Post",1,"0"
"78",13,"Post",1,"2"
"79",14,"Pre",1,"0"
"80",14,"Pre",1,"0"
"81",14,"Pre",1,"0"
"82",14,"Post",1,"0"
"83",14,"Post",1,"0"
"84",14,"Post",1,"0"
"85",15,"Pre",0,"4"
"86",15,"Pre",0,"2"
"87",15,"Pre",0,"1"
"88",15,"Post",0,"11"
"89",15,"Post",0,"0"
"90",15,"Post",0,"5"
"91",16,"Pre",1,"9"
"92",16,"Pre",1,"5"
"93",16,"Pre",1,"21"
"94",16,"Post",1,"0"
"95",16,"Post",1,"0"
"96",16,"Post",1,"5"
"103",18,"Pre",1,"70"
"104",18,"Pre",1,"34"
"105",18,"Pre",1,"25"
"106",18,"Post",1,"18"
"107",18,"Post",1,"86"
"108",18,"Post",1,"80"
"109",19,"Pre",0,"63"
"110",19,"Pre",0,"72"
"111",19,"Pre",0,"38"
"112",19,"Post",0,"30"
"113",19,"Post",0,"72"
"114",19,"Post",0,"27"
"115",20,"Pre",0,"25"
"116",20,"Pre",0,"16"
"117",20,"Pre",0,"16"
"118",20,"Post",0,"12"
"119",20,"Post",0,"16"
"120",20,"Post",0,"18"
"127",22,"Pre",0,"55"
"128",22,"Pre",0,"62"
"129",22,"Pre",0,"74"
"130",22,"Post",0,"64"
"131",22,"Post",0,"40"
"132",22,"Post",0,"68"
"139",24,"Pre",0,"4"
"140",24,"Pre",0,"6"
"141",24,"Pre",0,"4"
"142",24,"Post",0,"31"
"143",24,"Post",0,"0"
"144",24,"Post",0,"0"
"151",26,"Pre",1,"60"
"152",26,"Pre",1,"58"
"153",26,"Pre",1,"16"
"154",26,"Post",1,"7"
"155",26,"Post",1,"66"
"156",26,"Post",1,"65"
"157",27,"Pre",0,"29"
"158",27,"Pre",0,"19"
"159",27,"Pre",0,"14"
"160",27,"Post",0,"58"
"161",27,"Post",0,"26"
"162",27,"Post",0,"32"
"169",29,"Pre",1,"76"
"170",29,"Pre",1,"100"
"171",29,"Pre",1,"88"
"172",29,"Post",1,"0"
"173",29,"Post",1,"0"
"174",29,"Post",1,"70"
"175",30,"Pre",0,"100"
"176",30,"Pre",0,"0"
"177",30,"Pre",0,"79"
"178",30,"Post",0,"28"
"179",30,"Post",0,"87"
"180",30,"Post",0,"7"
"187",32,"Pre",0,"22"
"188",32,"Pre",0,"4"
"189",32,"Pre",0,"4"
"190",32,"Post",0,"5"
"191",32,"Post",0,"4"
"192",32,"Post",0,"2"
"193",33,"Pre",1,"88"
"194",33,"Pre",1,"11"
"195",33,"Pre",1,"79"
"196",33,"Post",1,"0"
"197",33,"Post",1,"0"
"198",33,"Post",1,"0"
"199",34,"Pre",1,"0"
"200",34,"Pre",1,"0"
"201",34,"Pre",1,"8"
"202",34,"Post",1,"0"
"203",34,"Post",1,"0"
"204",34,"Post",1,"0"
"205",35,"Pre",1,"61"
"206",35,"Pre",1,"64"
"207",35,"Pre",1,"58"
"208",35,"Post",1,"43"
"209",35,"Post",1,"47"
"210",35,"Post",1,"59"
"211",36,"Pre",1,"18"
"212",36,"Pre",1,"6"
"213",36,"Pre",1,"7"
"214",36,"Post",1,"13"
"215",36,"Post",1,"20"
"216",36,"Post",1,"19"
"223",38,"Pre",1,"6"
"224",38,"Pre",1,"4"
"225",38,"Pre",1,"32"
"226",38,"Post",1,"5"
"227",38,"Post",1,"0"
"228",38,"Post",1,"0"
"235",40,"Pre",1,"81"
"236",40,"Pre",1,"96"
"237",40,"Pre",1,"98"
"238",40,"Post",1,"0"
"239",40,"Post",1,"62"
"240",40,"Post",1,"2"
"241",41,"Pre",1,"100"
"242",41,"Pre",1,"100"
"243",41,"Pre",1,"100"
"244",41,"Post",1,"10"
"245",41,"Post",1,"0"
"246",41,"Post",1,"0"
"247",42,"Pre",1,"60"
"248",42,"Pre",1,"0"
"249",42,"Pre",1,"22"
"250",42,"Post",1,"0"
"251",42,"Post",1,"0"
"252",42,"Post",1,"0"
"253",43,"Pre",1,"31"
"254",43,"Pre",1,"59"
"255",43,"Pre",1,"63"
"256",43,"Post",1,"38"
"257",43,"Post",1,"42"
"258",43,"Post",1,"54"
"259",44,"Pre",1,"16"
"260",44,"Pre",1,"82"
"261",44,"Pre",1,"80"
"262",44,"Post",1,"18"
"263",44,"Post",1,"20"
"264",44,"Post",1,"0"
"271",46,"Pre",0,"11"
"272",46,"Pre",0,"0"
"273",46,"Pre",0,"0"
"274",46,"Post",0,"0"
"275",46,"Post",0,"74"
"276",46,"Post",0,"75"
"277",47,"Pre",1,"77"
"278",47,"Pre",1,"80"
"279",47,"Pre",1,"84"
"280",47,"Post",1,"56"
"281",47,"Post",1,"58"
"282",47,"Post",1,"68"
"283",48,"Pre",0,"78"
"284",48,"Pre",0,"0"
"285",48,"Pre",0,"0"
"286",48,"Post",0,"0"
"287",48,"Post",0,"0"
"288",48,"Post",0,"0"
"301",51,"Pre",0,"0"
"302",51,"Pre",0,"0"
"303",51,"Pre",0,"0"
"304",51,"Post",0,"0"
"305",51,"Post",0,"0"
"306",51,"Post",0,"0"
"307",52,"Pre",0,"0"
"308",52,"Pre",0,"0"
"309",52,"Pre",0,"0"
"310",52,"Post",0,"0"
"311",52,"Post",0,"0"
"312",52,"Post",0,"0"
"313",53,"Pre",0,"60"
"314",53,"Pre",0,"55"
"315",53,"Pre",0,"55"
"316",53,"Post",0,"0"
"317",53,"Post",0,"23"
"318",53,"Post",0,"22"
"319",54,"Pre",1,"67"
"320",54,"Pre",1,"29"
"321",54,"Pre",1,"0"
"322",54,"Post",1,"0"
"323",54,"Post",1,"0"
"324",54,"Post",1,"0"
"325",55,"Pre",0,"3"
"326",55,"Pre",0,"6"
"327",55,"Pre",0,"7"
"328",55,"Post",0,"2"
"329",55,"Post",0,"24"
"330",55,"Post",0,"39"
"331",56,"Pre",0,"65"
"332",56,"Pre",0,"69"
"333",56,"Pre",0,"83"
"334",56,"Post",0,"27"
"335",56,"Post",0,"61"
"336",56,"Post",0,"87"
"337",57,"Pre",0,"8"
"338",57,"Pre",0,"16"
"339",57,"Pre",0,"13"
"340",57,"Post",0,"5"
"341",57,"Post",0,"2"
"342",57,"Post",0,"16"
"343",58,"Pre",1,"6"
"344",58,"Pre",1,"15"
"345",58,"Pre",1,"5"
"346",58,"Post",1,"24"
"347",58,"Post",1,"20"
"348",58,"Post",1,"21"
"349",59,"Pre",0,"65"
"350",59,"Pre",0,"36"
"351",59,"Pre",0,"74"
"352",59,"Post",0,"64"
"353",59,"Post",0,"67"
"354",59,"Post",0,"65"
"355",60,"Pre",0,"100"
"356",60,"Pre",0,"100"
"357",60,"Pre",0,"64"
"358",60,"Post",0,"34"
"359",60,"Post",0,"60"
"360",60,"Post",0,"100"
"361",61,"Pre",0,"0"
"362",61,"Pre",0,"7"
"363",61,"Pre",0,"0"
"364",61,"Post",0,"8"
"365",61,"Post",0,"0"
"366",61,"Post",0,"0"
"367",62,"Pre",0,"59"
"368",62,"Pre",0,"59"
"369",62,"Pre",0,"43"
"370",62,"Post",0,"38"
"371",62,"Post",0,"62"
"372",62,"Post",0,"55"
"373",63,"Pre",0,"42"
"374",63,"Pre",0,"25"
"375",63,"Pre",0,"11"
"376",63,"Post",0,"77"
"377",63,"Post",0,"58"
"378",63,"Post",0,"23"
"397",67,"Pre",1,"0"
"398",67,"Pre",1,"0"
"399",67,"Pre",1,"0"
"400",67,"Post",1,"0"
"401",67,"Post",1,"0"
"402",67,"Post",1,"0"
"409",69,"Pre",1,"61"
"410",69,"Pre",1,"3"
"411",69,"Pre",1,"38"
"412",69,"Post",1,"8"
"413",69,"Post",1,"3"
"414",69,"Post",1,"4"
"421",71,"Pre",0,"23"
"422",71,"Pre",0,"82"
"423",71,"Pre",0,"100"
"424",71,"Post",0,"94"
"425",71,"Post",0,"13"
"426",71,"Post",0,"93"
"427",72,"Pre",1,"100"
"428",72,"Pre",1,"22"
"429",72,"Pre",1,"25"
"430",72,"Post",1,"89"
"431",72,"Post",1,"27"
"432",72,"Post",1,"78"
"439",74,"Pre",1,"100"
"440",74,"Pre",1,"100"
"441",74,"Pre",1,"100"
"442",74,"Post",1,"2"
"443",74,"Post",1,"0"
"444",74,"Post",1,"2"
"445",75,"Pre",0,"0"
"446",75,"Pre",0,"0"
"447",75,"Pre",0,"0"
"448",75,"Post",0,"0"
"449",75,"Post",0,"0"
"450",75,"Post",0,"0"
"451",76,"Pre",1,"84"
"452",76,"Pre",1,"23"
"453",76,"Pre",1,"74"
"454",76,"Post",1,"64"
"455",76,"Post",1,"1"
"456",76,"Post",1,"18"
"463",78,"Pre",1,"68"
"464",78,"Pre",1,"71"
"465",78,"Pre",1,"61"
"466",78,"Post",1,"4"
"467",78,"Post",1,"0"
"468",78,"Post",1,"0"
"469",79,"Pre",0,"68"
"470",79,"Pre",0,"88"
"471",79,"Pre",0,"70"
"472",79,"Post",0,"92"
"473",79,"Post",0,"37"
"474",79,"Post",0,"69"
"475",80,"Pre",0,"87"
"476",80,"Pre",0,"100"
"477",80,"Pre",0,"100"
"478",80,"Post",0,"86"
"479",80,"Post",0,"45"
"480",80,"Post",0,"100"
"481",81,"Pre",1,"31"
"482",81,"Pre",1,"30"
"483",81,"Pre",1,"0"
"484",81,"Post",1,"18"
"485",81,"Post",1,"2"
"486",81,"Post",1,"33"
"487",82,"Pre",0,"90"
"488",82,"Pre",0,"86"
"489",82,"Pre",0,"43"
"490",82,"Post",0,"39"
"491",82,"Post",0,"19"
"492",82,"Post",0,"73"
"493",83,"Pre",0,"10"
"494",83,"Pre",0,"9"
"495",83,"Pre",0,"15"
"496",83,"Post",0,"27"
"497",83,"Post",0,"15"
"498",83,"Post",0,"19"
"505",85,"Pre",0,"26"
"506",85,"Pre",0,"70"
"507",85,"Pre",0,"63"
"508",85,"Post",0,"69"
"509",85,"Post",0,"59"
"510",85,"Post",0,"60"
"511",86,"Pre",0,"18"
"512",86,"Pre",0,"74"
"513",86,"Pre",0,"0"
"514",86,"Post",0,"0"
"515",86,"Post",0,"0"
"516",86,"Post",0,"3"
"535",90,"Pre",1,"0"
"536",90,"Pre",1,"24"
"537",90,"Pre",1,"32"
"538",90,"Post",1,"1"
"539",90,"Post",1,"79"
"540",90,"Post",1,"74"
"541",91,"Pre",0,"4"
"542",91,"Pre",0,"2"
"543",91,"Pre",0,"6"
"544",91,"Post",0,"0"
"545",91,"Post",0,"0"
"546",91,"Post",0,"2"
"547",92,"Pre",1,"62"
"548",92,"Pre",1,"86"
"549",92,"Pre",1,"21"
"550",92,"Post",1,"13"
"551",92,"Post",1,"0"
"552",92,"Post",1,"22"
"553",93,"Pre",0,"2"
"554",93,"Pre",0,"0"
"555",93,"Pre",0,"0"
"556",93,"Post",0,"0"
"557",93,"Post",0,"0"
"558",93,"Post",0,"0"
"559",94,"Pre",1,"45"
"560",94,"Pre",1,"13"
"561",94,"Pre",1,"11"
"562",94,"Post",1,"12"
"563",94,"Post",1,"0"
"564",94,"Post",1,"4"
"565",95,"Pre",1,"41"
"566",95,"Pre",1,"43"
"567",95,"Pre",1,"44"
"568",95,"Post",1,"0"
"569",95,"Post",1,"0"
"570",95,"Post",1,"0"
"571",96,"Pre",1,"87"
"572",96,"Pre",1,"23"
"573",96,"Pre",1,"5"
"574",96,"Post",1,"83"
"575",96,"Post",1,"27"
"576",96,"Post",1,"68"
"595",100,"Pre",0,"44"
"596",100,"Pre",0,"11"
"597",100,"Pre",0,"9"
"598",100,"Post",0,"0"
"599",100,"Post",0,"0"
"600",100,"Post",0,"0"
"607",102,"Pre",1,"69"
"608",102,"Pre",1,"78"
"609",102,"Pre",1,"93"
"610",102,"Post",1,"55"
"611",102,"Post",1,"58"
"612",102,"Post",1,"62"
"613",103,"Pre",0,"74"
"614",103,"Pre",0,"33"
"615",103,"Pre",0,"96"
"616",103,"Post",0,"91"
"617",103,"Post",0,"94"
"618",103,"Post",0,"2"
"619",104,"Pre",0,"49"
"620",104,"Pre",0,"26"
"621",104,"Pre",0,"45"
"622",104,"Post",0,"39"
"623",104,"Post",0,"67"
"624",104,"Post",0,"68"
"625",105,"Pre",0,"0"
"626",105,"Pre",0,"0"
"627",105,"Pre",0,"0"
"628",105,"Post",0,"0"
"629",105,"Post",0,"0"
"630",105,"Post",0,"0"
"631",106,"Pre",1,"56"
"632",106,"Pre",1,"26"
"633",106,"Pre",1,"64"
"634",106,"Post",1,"0"
"635",106,"Post",1,"0"
"636",106,"Post",1,"0"
"637",107,"Pre",0,"6"
"638",107,"Pre",0,"29"
"639",107,"Pre",0,"36"
"640",107,"Post",0,"35"
"641",107,"Post",0,"57"
"642",107,"Post",0,"34"
"667",112,"Pre",0,"75"
"668",112,"Pre",0,"34"
"669",112,"Pre",0,"65"
"670",112,"Post",0,"12"
"671",112,"Post",0,"63"
"672",112,"Post",0,"62"
"673",113,"Pre",1,"15"
"674",113,"Pre",1,"69"
"675",113,"Pre",1,"23"
"676",113,"Post",1,"0"
"677",113,"Post",1,"0"
"678",113,"Post",1,"10"
