data_model,fit_model,kraken,waic,se,best
CB,ucb_lcb,0,-79495.14913219956,266.4066203066013,1
CB,ucb_lcb,1,-32383.336584581062,211.81351832256112,1
CB,ucb_b0,0,-85754.44710516991,253.79792535736826,0
CB,ucb_b0,1,-34919.50856716145,213.78827821644578,0
CB,ucb_lcb_n,0,-81923.00321153608,267.32480854265737,0
CB,ucb_lcb_n,1,-33329.00437825939,213.52304360208217,0
CB_b0,ucb_lcb,0,-82797.72679318374,257.15796583262636,1
CB_b0,ucb_lcb,1,-31347.801721533084,223.1343934400908,1
CB_b0,ucb_b0,0,-83183.42646805648,257.00481128403277,0
CB_b0,ucb_b0,1,-32124.804831407917,225.37951631955795,0
CB_b0,ucb_lcb_n,0,-82981.26065356025,257.1824575694605,0
CB_b0,ucb_lcb_n,1,-31574.355437635655,223.8925457791572,0
CB_n,ucb_lcb,0,-78941.88792808614,291.71323250131104,0
CB_n,ucb_lcb,1,-31782.599818446004,241.38207247190644,0
CB_n,ucb_b0,0,-82237.74096331456,248.67988867287525,0
CB_n,ucb_b0,1,-34267.08118953352,218.78575455004258,0
CB_n,ucb_lcb_n,0,-77800.9269830235,287.5263391130498,1
CB_n,ucb_lcb_n,1,-31442.627519202877,239.05073346502658,1
