model,ID,kraken_present,cv_fold,logp
ucb_lcb_n,1.0,0.0,0.0,-26.943227134644985
ucb_lcb_n,2.0,0.0,0.0,-52.66675651073456
ucb_lcb_n,3.0,0.0,0.0,-12.071723461151123
ucb_lcb_n,4.0,0.0,0.0,-48.105626821517944
ucb_lcb_n,5.0,0.0,0.0,-29.567879736423492
ucb_lcb_n,6.0,0.0,0.0,-26.034875869750977
ucb_lcb_n,7.0,0.0,0.0,-17.33957502245903
ucb_lcb_n,8.0,0.0,0.0,-18.34748175740242
ucb_lcb_n,9.0,0.0,0.0,-25.48914697021246
ucb_lcb_n,10.0,0.0,0.0,0.0
ucb_lcb_n,11.0,0.0,0.0,-23.568417325615883
ucb_lcb_n,12.0,0.0,0.0,-49.83802056312561
ucb_lcb_n,13.0,0.0,0.0,-22.738405108451843
ucb_lcb_n,14.0,0.0,0.0,-19.37100338935852
ucb_lcb_n,15.0,0.0,0.0,-88.42959499359131
ucb_lcb_n,16.0,0.0,0.0,-47.316728591918945
ucb_lcb_n,17.0,0.0,0.0,-13.974254466593266
ucb_lcb_n,18.0,0.0,0.0,-37.291887521743774
ucb_lcb_n,19.0,0.0,0.0,-24.82774293422699
ucb_lcb_n,20.0,0.0,0.0,-44.18541795015335
ucb_lcb_n,21.0,0.0,0.0,-36.03478479385376
ucb_lcb_n,22.0,0.0,0.0,-38.541183054447174
ucb_lcb_n,23.0,0.0,0.0,-49.44513773918152
ucb_lcb_n,24.0,0.0,0.0,-16.13901299238205
ucb_lcb_n,25.0,0.0,0.0,-48.722173511981964
ucb_lcb_n,26.0,0.0,0.0,-48.89430332183838
ucb_lcb_n,27.0,0.0,0.0,-41.80334997177124
ucb_lcb_n,28.0,0.0,0.0,-13.776002705097198
ucb_lcb_n,29.0,0.0,0.0,-30.499547600746155
ucb_lcb_n,30.0,0.0,0.0,-42.633108988404274
ucb_lcb_n,32.0,0.0,0.0,-16.89994704723358
ucb_lcb_n,33.0,0.0,0.0,-47.68113875389099
ucb_lcb_n,34.0,0.0,0.0,-13.216950297355652
ucb_lcb_n,35.0,0.0,0.0,-1.7361952662467957
ucb_lcb_n,36.0,0.0,0.0,-36.35454839468002
ucb_lcb_n,37.0,0.0,0.0,-14.73397571220994
ucb_lcb_n,38.0,0.0,0.0,-1.4329506903886795
ucb_lcb_n,39.0,0.0,0.0,-27.137904047966003
ucb_lcb_n,40.0,0.0,0.0,-16.37397449463606
ucb_lcb_n,41.0,0.0,0.0,-33.26799166202545
ucb_lcb_n,42.0,0.0,0.0,-27.405357480049133
ucb_lcb_n,43.0,0.0,0.0,-37.64792039990425
ucb_lcb_n,45.0,0.0,0.0,-65.81359720230103
ucb_lcb_n,46.0,0.0,0.0,-12.390951573848724
ucb_lcb_n,47.0,0.0,0.0,-34.731769025325775
ucb_lcb_n,48.0,0.0,0.0,-36.36890089511871
ucb_lcb_n,49.0,0.0,0.0,-41.25417137145996
ucb_lcb_n,50.0,0.0,0.0,-21.50731299817562
ucb_lcb_n,51.0,0.0,0.0,-43.81985092163086
ucb_lcb_n,52.0,0.0,0.0,-18.853373527526855
ucb_lcb_n,53.0,0.0,0.0,-29.992689967155457
ucb_lcb_n,54.0,0.0,0.0,0.0
ucb_lcb_n,55.0,0.0,0.0,-65.49760437011719
ucb_lcb_n,56.0,0.0,0.0,-24.498161412775517
ucb_lcb_n,58.0,0.0,0.0,-41.08901762962341
ucb_lcb_n,59.0,0.0,0.0,-44.819583773612976
ucb_lcb_n,60.0,0.0,0.0,-36.009842455387115
ucb_lcb_n,61.0,0.0,0.0,-26.49460470676422
ucb_lcb_n,64.0,0.0,0.0,-36.814337491989136
ucb_lcb_n,65.0,0.0,0.0,-22.795376539230347
ucb_lcb_n,66.0,0.0,0.0,-31.119323074817657
ucb_lcb_n,67.0,0.0,0.0,-13.289921938441694
ucb_lcb_n,68.0,0.0,0.0,-32.72204875946045
ucb_lcb_n,69.0,0.0,0.0,-21.565210163593292
ucb_lcb_n,70.0,0.0,0.0,-38.43233513832092
ucb_lcb_n,71.0,0.0,0.0,-27.12946182489395
ucb_lcb_n,72.0,0.0,0.0,-24.82444727420807
ucb_lcb_n,73.0,0.0,0.0,-32.48797953128815
ucb_lcb_n,74.0,0.0,0.0,-54.16299021244049
ucb_lcb_n,75.0,0.0,0.0,-29.532126665115356
ucb_lcb_n,76.0,0.0,0.0,-14.15098924934864
ucb_lcb_n,77.0,0.0,0.0,-24.915592670440674
ucb_lcb_n,78.0,0.0,0.0,-32.224711418151855
ucb_lcb_n,79.0,0.0,0.0,-35.11836123466492
ucb_lcb_n,80.0,0.0,0.0,-30.20008647441864
ucb_lcb_n,81.0,0.0,0.0,-28.607823967933655
ucb_lcb_n,82.0,0.0,0.0,-41.16020953655243
ucb_lcb_n,83.0,0.0,0.0,-23.994414441287518
ucb_lcb_n,84.0,0.0,0.0,-6.672550842165947
ucb_lcb_n,85.0,0.0,0.0,-28.314407646656036
ucb_lcb_n,87.0,0.0,0.0,-23.710418105125427
ucb_lcb_n,88.0,0.0,0.0,-34.92450165748596
ucb_lcb_n,89.0,0.0,0.0,-26.7075914144516
ucb_lcb_n,90.0,0.0,0.0,-43.992087602615356
ucb_lcb_n,91.0,0.0,0.0,-44.44217658042908
ucb_lcb_n,92.0,0.0,0.0,-43.578933238983154
